dt_reference;id_city_origin;id_city_destination;freight_cost;distance
07/02/2025;5107602;3548500;348.17;1568.51
14/02/2025;5107602;3548500;332.5;1568.51
21/02/2025;5107602;3548500;337.5;1568.51
28/02/2025;5107602;3548500;380.0;1568.51
07/03/2025;5107602;3548500;342.5;1568.51
14/03/2025;5107602;3548500;390.0;1568.51
21/03/2025;5107602;3548500;365.0;1568.51
28/03/2025;5107602;3548500;400.0;1568.51
04/04/2025;5107602;3548500;405.0;1568.51
11/04/2025;5107602;3548500;404.0;1568.51
18/04/2025;5107602;3548500;425.0;1568.51
25/04/2025;5107602;3548500;421.25;1568.51
02/05/2025;5107602;3548500;330.0;1568.51
09/05/2025;5107602;3548500;415.0;1568.51
16/05/2025;5107602;3548500;435.0;1568.51
23/05/2025;5107602;3548500;290.0;1568.51
30/05/2025;5107602;3548500;373.0;1568.51
06/06/2025;5107602;3548500;395.0;1568.51
13/06/2025;5107602;3548500;423.33;1568.51
20/06/2025;5107602;3548500;360.0;1568.51
27/06/2025;5107602;3548500;430.0;1568.51
04/07/2025;5107602;3548500;270.0;1568.51
11/07/2025;5107602;3548500;320.0;1568.51
19/07/2024;5107925;3548500;390.0;2179.38
26/07/2024;5107925;3548500;410.0;2179.38
02/08/2024;5107925;3548500;460.0;2179.38
09/08/2024;5107925;3548500;430.0;2179.38
16/08/2024;5107925;3548500;483.33;2179.38
23/08/2024;5107925;3548500;457.5;2179.38
30/08/2024;5107925;3548500;455.0;2179.38
06/09/2024;5107925;3548500;459.33;2179.38
13/09/2024;5107925;3548500;425.0;2179.38
20/09/2024;5107925;3548500;433.33;2179.38
27/09/2024;5107925;3548500;415.0;2179.38
04/10/2024;5107925;3548500;480.0;2179.38
11/10/2024;5107925;3548500;472.5;2179.38
18/10/2024;5107925;3548500;477.5;2179.38
25/10/2024;5107925;3548500;505.0;2179.38
01/11/2024;5107925;3548500;513.35;2179.38
08/11/2024;5107925;3548500;531.1;2179.38
15/11/2024;5107925;3548500;519.15;2179.38
22/11/2024;5107925;3548500;538.0;2179.38
29/11/2024;5107925;3548500;545.0;2179.38
06/12/2024;5107925;3548500;548.34;2179.38
13/12/2024;5107925;3548500;540.0;2179.38
20/12/2024;5107925;3548500;520.0;2179.38
27/12/2024;5107925;3548500;500.0;2179.38
03/01/2025;5107925;3548500;479.0;2179.38
10/01/2025;5107925;3548500;525.0;2179.38
17/01/2025;5107925;3548500;498.0;2179.38
24/01/2025;5107925;3548500;536.67;2179.38
31/01/2025;5107925;3548500;536.0;2179.38
07/02/2025;5107925;3548500;522.0;2179.38
14/02/2025;5107925;3548500;400.0;2179.38
21/02/2025;5107925;3548500;508.0;2179.38
28/02/2025;5107925;3548500;545.0;2179.38
07/03/2025;5107925;3548500;553.33;2179.38
14/03/2025;5107925;3548500;546.0;2179.38
21/03/2025;5107925;3548500;538.33;2179.38
28/03/2025;5107925;3548500;546.67;2179.38
04/04/2025;5107925;3548500;390.0;2179.38
11/04/2025;5107925;3548500;410.0;2179.38
18/04/2025;5107925;3548500;460.0;2179.38
25/04/2025;5107925;3548500;430.0;2179.38
02/05/2025;5107925;3548500;483.33;2179.38
09/05/2025;5107925;3548500;457.5;2179.38
16/05/2025;5107925;3548500;455.0;2179.38
23/05/2025;5107925;3548500;459.33;2179.38
30/05/2025;5107925;3548500;425.0;2179.38
06/06/2025;5107925;3548500;433.33;2179.38
13/06/2025;5107925;3548500;415.0;2179.38
20/06/2025;5107925;3548500;480.0;2179.38
27/06/2025;5107925;3548500;472.5;2179.38
04/07/2025;5107925;3548500;477.5;2179.38
11/07/2025;5107925;3548500;505.0;2179.38
19/07/2024;5102637;3548500;390.0;2184.15
26/07/2024;5102637;3548500;405.0;2184.15
02/08/2024;5102637;3548500;450.0;2184.15
09/08/2024;5102637;3548500;440.0;2184.15
16/08/2024;5102637;3548500;437.5;2184.15
23/08/2024;5102637;3548500;430.0;2184.15
30/08/2024;5102637;3548500;480.0;2184.15
06/09/2024;5102637;3548500;457.5;2184.15
13/09/2024;5102637;3548500;425.0;2184.15
20/09/2024;5102637;3548500;415.0;2184.15
27/09/2024;5102637;3548500;490.0;2184.15
04/10/2024;5102637;3548500;485.0;2184.15
11/10/2024;5102637;3548500;475.0;2184.15
18/10/2024;5102637;3548500;540.0;2184.15
25/10/2024;5102637;3548500;550.0;2184.15
01/11/2024;5102637;3548500;505.0;2184.15
08/11/2024;5102637;3548500;545.0;2184.15
15/11/2024;5102637;3548500;570.0;2184.15
22/11/2024;5102637;3548500;580.0;2184.15
29/11/2024;5102637;3548500;510.0;2184.15
06/12/2024;5102637;3548500;500.0;2184.15
13/12/2024;5102637;3548500;445.0;2184.15
20/12/2024;5102637;3548500;410.0;2184.15
27/12/2024;5102637;3548500;522.0;2184.15
03/01/2025;5102637;3548500;400.0;2184.15
10/01/2025;5102637;3548500;552.5;2184.15
17/01/2025;5102637;3548500;575.0;2184.15
24/01/2025;5102637;3548500;460.0;2184.15
31/01/2025;5102637;3548500;470.0;2184.15
07/02/2025;5102637;3548500;390.0;2184.15
14/02/2025;5102637;3548500;405.0;2184.15
21/02/2025;5102637;3548500;450.0;2184.15
28/02/2025;5102637;3548500;440.0;2184.15
07/03/2025;5102637;3548500;437.5;2184.15
14/03/2025;5102637;3548500;430.0;2184.15
